date,weight
4/29/2022,266
4/30/2022,266.3
5/1/2022,265.8
5/2/2022,264.7
5/4/2022,263
5/5/2022,266
5/6/2022,266.3
5/8/2022,267.1
5/11/2022,263
5/12/2022,265.2
5/22/2022,265.8
6/1/2022,259
6/8/2022,260.3
6/17/2022,258.5
6/19/2022,258.1
6/22/2022,257.9
6/29/2022,257
7/9/2022,262.1
7/13/2022,257.2
7/20/2022,256.6
7/22/2022,257.9
7/27/2022,256.1
7/28/2022,260.5
8/3/2022,255.5
8/10/2022,255.5
8/13/2022,256.6
8/16/2022,255
8/17/2022,255.2
8/19/2022,256.3
8/24/2022,253.9
8/26/2022,255.7
8/30/2022,252.2
8/31/2022,252.8
9/2/2022,252.2
9/6/2022,251.5
9/7/2022,251.1
9/9/2022,250.0
9/12/2022,252.2
9/13/2022,252.4
9/14/2022,249.5
9/16/2022,250.0
